iter	RMSE
0	0.3820900951
1	0.3743357938
2	0.3667054844
3	0.3592678181
4	0.3519081217
5	0.3447881961
6	0.3380045858
7	0.3314464894
8	0.3249115782
9	0.3183944174
10	0.3125820209
11	0.3063585545
12	0.3003984536
13	0.2947859307
14	0.2892731764
15	0.2842699488
16	0.2790912829
17	0.2740357664
18	0.269215068
19	0.2645171221
20	0.2600599408
21	0.2554227124
22	0.2509859448
23	0.2468546042
24	0.2430366064
25	0.2390498101
26	0.2352124585
27	0.2318877042
28	0.2284794698
29	0.2248837311
30	0.2214382294
31	0.2181086236
32	0.2151537264
33	0.2120013763
34	0.2090711393
35	0.2062078465
36	0.2034993556
37	0.2008308557
38	0.1982895305
39	0.1958127323
40	0.1934929778
41	0.1910938404
42	0.1887924728
43	0.1865381365
44	0.1843257533
45	0.1822468005
46	0.1801403218
47	0.1782271368
48	0.1761789315
49	0.174293022
50	0.1723483587
51	0.1706009864
52	0.1690390455
53	0.1674214684
54	0.1658273372
55	0.1643724494
56	0.1628354966
57	0.1613628995
58	0.159917662
59	0.1586719973
60	0.1574386896
61	0.1561253194
62	0.1548987237
63	0.1536209119
64	0.1525345128
65	0.1513017257
66	0.1502255408
67	0.1490944679
68	0.1480233563
69	0.1467812235
70	0.1455615149
71	0.1446765789
72	0.1437263547
73	0.1429159893
74	0.1421153037
75	0.1412607856
76	0.1403831888
77	0.1397030071
78	0.1388995895
79	0.1380499129
80	0.1372721362
81	0.1366597625
82	0.1360974792
83	0.1353627665
84	0.134436394
85	0.1337160274
86	0.1329645152
87	0.1323145554
88	0.1316713216
89	0.1310004498
90	0.1303217264
91	0.1297517115
92	0.1292929986
93	0.1288020377
94	0.1283088545
95	0.1278942346
96	0.127417109
97	0.1270322274
98	0.1265541875
99	0.1259666845
100	0.1255273798
101	0.1250713876
102	0.1245822851
103	0.1241248404
104	0.123804529
105	0.1233655466
106	0.1229634957
107	0.1225034255
108	0.1220984289
109	0.1218278642
110	0.1212757814
111	0.1208565581
112	0.1203923971
113	0.1199674054
114	0.1196236438
115	0.1192381481
116	0.1189485171
117	0.1184929859
118	0.1180903662
119	0.1178014342
120	0.1174980682
121	0.1172665961
122	0.1169988289
123	0.116730486
124	0.1164214997
125	0.1160686646
126	0.1157792889
127	0.1155812375
128	0.1153416751
129	0.115132489
130	0.1148824319
131	0.114665106
132	0.1143777154
133	0.1141930501
134	0.1139338153
135	0.1137495995
136	0.1135289687
137	0.1133151393
138	0.1130359898
139	0.11282005
140	0.1124689479
141	0.1122290351
142	0.1119535919
143	0.1116290144
144	0.1113250629
145	0.1111497759
146	0.1109490426
147	0.1108008091
148	0.110571053
149	0.1104293736
150	0.1101999989
151	0.1100200214
152	0.1098967907
153	0.1096657474
154	0.109494191
155	0.1092782087
156	0.1089972338
157	0.1088405586
158	0.1086519007
159	0.1084301594
160	0.1082571315
161	0.1081194394
162	0.1079738965
163	0.1077795021
164	0.1076161909
165	0.1074897447
166	0.1072352745
167	0.1071239211
168	0.1069827023
169	0.1068263667
170	0.1067584041
171	0.1065694199
172	0.1063916161
173	0.1062829435
174	0.1061272081
175	0.1059978997
176	0.1059215354
177	0.1058597681
178	0.1057320323
179	0.1055864503
180	0.1054366521
181	0.1053230832
182	0.1052157902
183	0.1050409459
184	0.1050237736
185	0.1048837791
186	0.1048650043
187	0.1047431804
188	0.104638574
189	0.1045451296
190	0.1045366709
191	0.1043851199
192	0.1042718465
193	0.1042261063
194	0.1040344409
195	0.1038777949
196	0.1037829967
197	0.1035971243
198	0.1034942984
199	0.10339736
200	0.1032517403
201	0.1031387065
202	0.1030716751
203	0.1030411048
204	0.1028988334
205	0.1028650644
206	0.1027519112
207	0.1026525577
208	0.1024777184
209	0.1023324895
210	0.1022656842
211	0.1022014996
212	0.102114229
213	0.1020059942
214	0.1019851605
215	0.1019470884
216	0.1018133172
217	0.1017636156
218	0.101572384
219	0.1014446181
220	0.1013914865
221	0.1013065566
222	0.1012879208
223	0.1011660347
224	0.1011265118
225	0.1010315647
226	0.1010065044
227	0.1009112259
228	0.1008860791
229	0.1008484382
230	0.10080564
231	0.100782869
232	0.1007605021
233	0.1006414456
234	0.1006260744
235	0.1005529265
236	0.100492454
237	0.1004304858
238	0.1003147981
239	0.1002793773
240	0.1000835966
241	0.1000479593
242	0.09997813299
243	0.09989705274
244	0.09985081309
245	0.09976466163
246	0.09974178804
247	0.09963289773
248	0.09958147657
249	0.09949404146
250	0.09947445873
251	0.09943729346
252	0.09941861938
253	0.09922377765
254	0.09913720483
255	0.09903020158
256	0.09901458024
257	0.09894965248
258	0.09891770915
259	0.09881467414
260	0.09876557995
261	0.09870676703
262	0.09867875408
263	0.09862237314
264	0.09856651496
265	0.09852397278
266	0.09847187306
267	0.09844424114
268	0.09840304839
269	0.09835575772
270	0.09827834882
271	0.0982127847
272	0.09815163991
273	0.0980873646
274	0.09807829493
275	0.0979913142
276	0.09795772474
277	0.097837369
278	0.09782701168
279	0.09779137864
280	0.09764633755
281	0.09761225297
282	0.09758166666
283	0.09757618588
284	0.09755841515
285	0.09738869582
286	0.09730981701
287	0.09713433834
288	0.09705595949
289	0.0970299103
290	0.09688574343
291	0.09680206041
292	0.09678057891
293	0.0967661723
294	0.0966519994
295	0.09659714882
296	0.09652660682
297	0.09650143006
298	0.0963401337
299	0.09626465365
300	0.09620995141
301	0.0961939612
302	0.09615008055
303	0.09612112287
304	0.0960939196
305	0.09599689956
306	0.09594247017
307	0.09589231421
308	0.09583199782
309	0.09579344069
310	0.09570405494
311	0.09563725108
312	0.09557548801
313	0.09555940018
314	0.09552986174
315	0.09551252668
316	0.09544808668
317	0.09541329383
318	0.09531688307
319	0.09523851739
320	0.09521623295
321	0.09520568053
322	0.09512166112
323	0.09510994785
324	0.0949201541
325	0.09472182593
326	0.09463907659
327	0.09461590451
328	0.09460379634
329	0.09458450464
330	0.09455451485
331	0.09449798887
332	0.09447664463
333	0.09443577467
334	0.09440524032
335	0.09427491082
336	0.09422141482
337	0.09415971594
338	0.09414427514
339	0.09397113969
340	0.09394343117
341	0.09388869404
342	0.09387425675
343	0.09383452537
344	0.09381299972
345	0.09376450866
346	0.09372343706
347	0.09367456842
348	0.09360913794
349	0.09357785834
350	0.09350514771
351	0.09344731855
352	0.09343090797
353	0.09336463772
354	0.09332532368
355	0.09331910732
356	0.09331171802
357	0.09329721771
358	0.09326792143
359	0.09313541744
360	0.09307195469
361	0.09292764424
362	0.09291679236
363	0.09288983733
364	0.09282092012
365	0.09280910563
366	0.09269921511
367	0.09268416088
368	0.09267213072
369	0.09264679222
370	0.09261771336
371	0.09256266419
372	0.09250481957
373	0.09248396882
374	0.0924609057
375	0.09245027282
376	0.09243667527
377	0.09242252799
378	0.09232298525
379	0.09228927472
380	0.09226573815
381	0.09220791093
382	0.09219721346
383	0.09218010201
384	0.09212191525
385	0.09210217018
386	0.09207769905
387	0.09205115913
388	0.09202669217
389	0.09197903479
390	0.09178217985
391	0.09176897266
392	0.09174266383
393	0.09172120362
394	0.09168009388
395	0.09164328249
396	0.09159054495
397	0.09157258899
398	0.09154907777
399	0.09151813344
400	0.09147764651
401	0.09143288656
402	0.0913450618
403	0.09132049955
404	0.09128831948
405	0.0912370995
406	0.09120854698
407	0.09118911004
408	0.09115415611
409	0.09112600321
410	0.09107481298
411	0.09092417201
412	0.09084493809
413	0.09082400744
414	0.09078845877
415	0.09071730614
416	0.09070579376
417	0.09066919016
418	0.09053889361
419	0.09052369208
420	0.09046370433
421	0.09045196108
422	0.09038235937
423	0.09027317337
424	0.09025227296
425	0.0902220875
426	0.09017180123
427	0.09015580875
428	0.09014426995
429	0.09011572454
430	0.0899937226
431	0.08998364207
432	0.0899369947
433	0.08989996455
434	0.08982168612
435	0.08969101411
436	0.08966091744
437	0.08958003297
438	0.08957444088
439	0.089552183
440	0.08947692197
441	0.08944063249
442	0.08941365228
443	0.08932294181
444	0.0892764431
445	0.0892135163
446	0.08918373
447	0.08916390662
448	0.08914813632
449	0.08913904104
450	0.08907149347
451	0.0890325168
452	0.08902067189
453	0.0890080365
454	0.08897371696
455	0.08893341211
456	0.08892060821
457	0.08890488661
458	0.08888381603
459	0.08887630142
460	0.08875500145
461	0.08871248957
462	0.08861617356
463	0.08858540295
464	0.08855612916
465	0.08845818452
466	0.08845209688
467	0.08844410247
468	0.08842975964
469	0.08835599142
470	0.08825942977
471	0.08825379101
472	0.08824669926
473	0.08822710955
474	0.08819512467
475	0.08818297746
476	0.08809909107
477	0.0880728541
478	0.08804716572
479	0.08802953047
480	0.0880208066
481	0.08798005128
482	0.08797485403
483	0.08788284894
484	0.08787364128
485	0.0878578996
486	0.08782831826
487	0.08778712015
488	0.08774520945
489	0.08768292043
490	0.08767084195
491	0.08753195961
492	0.08752376454
493	0.08750984002
494	0.08749330499
495	0.08746657825
496	0.08745270065
497	0.08739968127
498	0.08737815428
499	0.0873709494
500	0.08730929583
501	0.08724590012
502	0.08720415532
503	0.08714105323
504	0.08712536194
505	0.08711647723
506	0.08710997245
507	0.08707056785
508	0.08703038078
509	0.08689882821
510	0.0868553138
511	0.0868374271
512	0.08683212855
513	0.08680428114
514	0.08677635422
515	0.0867683795
516	0.08676068167
517	0.08670722972
518	0.0867018102
519	0.0866945397
520	0.08666522547
521	0.08663332367
522	0.08662918608
523	0.08659247637
524	0.08657757688
525	0.08657235202
526	0.08653713257
527	0.08652342674
528	0.08651842039
529	0.08650774612
530	0.08650228107
531	0.08649785403
532	0.08647916639
533	0.08646178265
534	0.08643759446
535	0.08643042926
536	0.08641510026
537	0.08637143669
538	0.08632349002
