iter	Passed	Remaining
0	79	238897
1	166	249322
2	250	249802
3	330	247506
4	414	248500
5	506	252909
6	597	255295
7	688	257325
8	788	261958
9	880	263149
10	967	262816
11	1052	262130
12	1133	260352
13	1226	261635
14	1312	261215
15	1398	260732
16	1488	261142
17	1579	261603
18	1654	259551
19	1733	258343
20	1821	258387
21	1907	258199
22	1993	258039
23	2061	255642
24	2126	253050
25	2198	251475
26	2280	251100
27	2368	251431
28	2456	251629
29	2540	251467
30	2621	251031
31	2701	250599
32	2767	248863
33	2833	247157
34	2901	245811
35	2993	246493
36	3090	247490
37	3172	247253
38	3253	246996
39	3325	246114
40	3414	246396
41	3502	246706
42	3583	246396
43	3671	246674
44	3740	245622
45	3828	245824
46	3911	245749
47	3993	245574
48	4069	245073
49	4167	245897
50	4253	245950
51	4323	245105
52	4410	245258
53	4489	244928
54	4579	245228
55	4672	245631
56	4742	244873
57	4809	243947
58	4879	243215
59	4966	243345
60	5049	243293
61	5125	242862
62	5223	243492
63	5309	243578
64	5404	244056
65	5496	244343
66	5566	243681
67	5649	243574
68	5732	243507
69	5811	243245
70	5879	242568
71	5957	242274
72	6039	242176
73	6114	241775
74	6193	241538
75	6257	240765
76	6329	240256
77	6393	239510
78	6485	239783
79	6573	239950
80	6653	239789
81	6725	239313
82	6790	238663
83	6857	238059
84	6924	237454
85	7013	237642
86	7078	236997
87	7143	236395
88	7208	235773
89	7288	235646
90	7357	235207
91	7433	234954
92	7519	235054
93	7596	234859
94	7666	234422
95	7742	234219
96	7824	234158
97	7898	233898
98	7970	233564
99	8054	233577
100	8135	233513
101	8224	233679
102	8299	233444
103	8379	233334
104	8468	233475
105	8550	233449
106	8625	233218
107	8701	233015
108	8781	232917
109	8866	232953
110	8952	233008
111	9022	232659
112	9103	232576
113	9188	232604
114	9266	232476
115	9339	232192
116	9414	231983
117	9479	231536
118	9542	231016
119	9627	231068
120	9709	231033
121	9769	230469
122	9849	230383
123	9927	230244
124	10002	230062
125	10073	229763
126	10157	229782
127	10234	229644
128	10301	229267
129	10384	229254
130	10465	229206
131	10537	228959
132	10604	228604
133	10688	228599
134	10766	228493
135	10829	228052
136	10905	227901
137	10986	227843
138	11062	227702
139	11143	227648
140	11222	227562
141	11310	227636
142	11379	227345
143	11459	227288
144	11536	227158
145	11603	226826
146	11692	226931
147	11785	227105
148	11869	227119
149	11939	226853
150	12007	226561
151	12092	226576
152	12167	226405
